Date,Price,Open,High,Low,Vol.,Change
12/8/25,"90,933.50","90,413.60","92,269.10","89,640.70",52.96K,0.57%
12/7/25,"90,413.60","89,209.80","91,736.80","87,747.60",38.67K,1.35%
12/6/25,"89,209.80","89,333.60","90,176.50","88,929.50",30.14K,-0.14%
12/5/25,"89,333.60","92,082.80","92,676.40","88,218.40",61.14K,-2.99%
12/4/25,"92,082.80","93,437.20","94,043.90","90,933.20",60.28K,-1.45%
12/3/25,"93,437.20","91,286.80","94,077.00","91,020.80",79.02K,2.35%
12/2/25,"91,287.60","86,315.20","92,285.40","86,189.80",87.36K,5.77%
12/1/25,"86,309.10","90,372.20","90,372.20","83,858.10",105.96K,-4.50%
11/30/25,"90,374.20","90,804.10","91,957.00","90,351.70",31.09K,-0.47%
11/29/25,"90,800.50","90,894.70","91,160.20","90,225.30",28.05K,-0.10%
11/28/25,"90,894.70","91,324.70","92,942.60","90,221.50",60.08K,-0.47%
11/27/25,"91,324.60","90,497.80","91,888.00","90,099.90",58.08K,0.92%
11/26/25,"90,496.50","87,363.10","90,582.80","86,334.80",70.68K,3.58%
11/25/25,"87,366.80","88,296.10","88,502.60","86,162.00",70.67K,-1.05%
11/24/25,"88,296.50","86,828.40","89,210.60","85,307.20",81.64K,1.69%
11/23/25,"86,826.60","84,729.00","87,995.80","84,729.00",67.53K,2.48%
11/22/25,"84,721.60","85,117.20","85,557.30","83,518.80",49.35K,-0.48%
11/21/25,"85,131.00","86,610.60","87,460.00","80,697.70",177.95K,-1.71%
11/20/25,"86,613.90","91,543.30","93,123.30","86,105.40",114.40K,-5.39%
11/19/25,"91,544.10","92,962.30","92,962.30","88,610.40",95.86K,-1.53%
11/18/25,"92,962.30","92,196.60","93,781.80","89,391.90",115.10K,0.83%
11/17/25,"92,195.00","94,259.80","96,002.70","91,327.80",109.89K,-2.19%
11/16/25,"94,259.80","95,587.60","96,575.10","93,043.50",68.24K,-1.39%
11/15/25,"95,587.60","94,557.50","96,799.50","94,557.50",48.15K,1.09%
11/14/25,"94,554.30","99,707.00","99,843.90","94,126.20",131.30K,-5.19%
11/13/25,"99,728.70","101,652.80","104,008.70","98,027.40",100.44K,-1.90%
11/12/25,"101,658.30","103,046.70","105,309.10","100,858.00",63.52K,-1.35%
11/11/25,"103,046.70","106,003.20","107,461.30","102,484.30",73.04K,-2.79%
11/10/25,"106,006.90","104,720.80","106,629.50","104,285.00",70.75K,1.23%
11/9/25,"104,722.40","102,311.30","105,409.10","101,469.10",51.64K,2.36%
11/8/25,"102,311.10","103,326.40","103,397.60","101,474.00",41.41K,-0.98%
11/7/25,"103,325.40","101,330.30","104,067.90","99,290.80",94.27K,1.97%
11/6/25,"101,325.70","103,893.00","104,160.70","100,350.90",78.43K,-2.47%
11/5/25,"103,896.70","101,500.80","104,534.30","99,010.60",98.50K,2.36%
11/4/25,"101,504.30","106,584.30","107,293.10","99,001.80",134.18K,-4.76%
11/3/25,"106,578.10","110,566.90","110,736.30","105,331.70",85.37K,-3.62%
11/2/25,"110,586.60","110,097.10","111,229.80","109,537.00",41.82K,0.44%
11/1/25,"110,103.60","109,602.70","110,534.60","109,406.70",27.13K,0.46%
10/31/25,"109,602.80","108,319.50","111,102.20","108,319.50",68.61K,1.18%
10/30/25,"108,320.10","110,024.90","111,585.80","106,371.40",80.07K,-1.55%
10/29/25,"110,024.60","112,904.70","113,628.70","109,506.40",66.99K,-2.55%
10/28/25,"112,905.80","114,110.30","116,076.70","112,266.90",52.49K,-1.05%
10/27/25,"114,108.00","114,553.90","116,307.50","113,868.00",70.79K,-0.39%
10/26/25,"114,550.90","111,646.00","115,153.90","111,261.90",42.74K,2.60%
10/25/25,"111,646.10","111,012.40","111,921.30","110,702.10",23.30K,0.57%
10/24/25,"111,013.10","110,078.90","111,966.00","109,776.00",51.79K,0.85%
10/23/25,"110,078.90","107,587.50","111,285.90","107,518.90",59.44K,2.32%
10/22/25,"107,587.50","108,336.40","109,081.50","106,746.20",86.97K,-0.70%
10/21/25,"108,340.90","110,544.00","113,971.60","107,491.10",108.22K,-1.99%
10/20/25,"110,544.00","108,656.30","111,677.20","107,443.10",64.94K,1.74%
10/19/25,"108,658.20","107,189.90","109,456.10","106,134.90",52.65K,1.37%
10/18/25,"107,193.50","106,469.40","107,489.00","106,356.90",40.28K,0.70%
10/17/25,"106,443.50","108,205.50","109,232.30","103,632.70",106.66K,-1.63%
10/16/25,"108,204.80","110,767.40","111,960.20","107,549.10",92.62K,-2.31%
10/15/25,"110,767.40","113,029.80","113,611.90","110,206.40",72.25K,-2.00%
10/14/25,"113,030.80","115,174.80","115,400.60","109,948.00",95.33K,-1.86%
10/13/25,"115,174.80","114,985.90","115,893.10","113,802.10",71.35K,0.16%
10/12/25,"114,986.00","110,670.90","115,733.90","109,612.80",93.16K,3.90%
10/11/25,"110,671.50","112,878.00","113,315.00","109,677.70",107.25K,-1.96%
10/10/25,"112,878.60","121,666.60","122,492.80","103,893.30",153.63K,-7.22%
10/9/25,"121,666.30","123,337.60","123,710.90","119,732.70",67.35K,-1.33%
10/8/25,"123,311.10","121,356.70","124,139.30","121,086.10",57.67K,1.61%
10/7/25,"121,356.60","124,687.50","125,112.90","120,624.30",70.42K,-2.70%
10/6/25,"124,725.10","123,475.50","126,186.00","123,144.60",68.95K,1.01%
10/5/25,"123,475.50","122,387.10","125,617.40","122,146.20",66.03K,0.89%
10/4/25,"122,387.10","122,224.80","122,810.60","121,530.50",31.34K,0.13%
10/3/25,"122,224.20","120,566.10","123,889.80","119,272.60",81.43K,1.38%
10/2/25,"120,566.10","118,577.10","121,023.00","118,318.10",69.08K,1.68%
10/1/25,"118,576.20","114,048.70","118,634.50","113,970.50",69.15K,3.97%
9/30/25,"114,048.50","114,355.40","114,776.20","112,672.50",53.07K,-0.27%
9/29/25,"114,357.50","112,177.40","114,412.50","111,571.10",55.53K,1.95%
9/28/25,"112,174.60","109,652.80","112,355.80","109,213.50",28.91K,2.30%
9/27/25,"109,652.80","109,662.20","109,734.30","109,090.80",22.46K,-0.01%
9/26/25,"109,662.20","109,012.40","110,299.10","108,673.00",54.26K,0.59%
9/25/25,"109,016.30","113,307.10","113,508.60","108,675.30",69.14K,-3.79%
9/24/25,"113,307.10","112,002.90","113,951.00","111,212.00",43.29K,1.16%
9/23/25,"112,002.60","112,673.00","113,279.90","111,501.90",44.21K,-0.60%
9/22/25,"112,673.00","115,243.30","115,382.70","111,964.90",67.57K,-2.23%
